id_old,jad_id,books_old,chapters_old,verses_old,books_new,chapters_new,verses_new,full_match_book,full_match_chapter,full_match_verse,partial_match_book,partial_match_chapter,partial_match_verse,all_found_books,all_found_chapters,all_found_verses
1,jad_occurrence__1,"[33, 49, 51, 51, 54]","[11, 11, 19, 19, 27]","['Ezechiel 11:19', 'Lucas 19:40', 'Lucas 19:41', 'Matthaeus 27:50', 'Romanos 11:25']","[33, 49, 51, 51, 54]","[11, 11, 19, 19, 27]","['Ezechiel 11:19', 'Lucas 19:40', 'Lucas 19:41', 'Matthaeus 27:50', 'Romanos 11:25']",True,True,True,True,True,True,True,True,True
3,jad_occurrence__3,"[53, 53]","[12, 25]","['Actus Apostolorum 12:0', 'Actus Apostolorum 25:0']","[53, 53]","[12, 25]","['Actus Apostolorum 12:0', 'Actus Apostolorum 25:0']",True,True,True,True,True,True,True,True,True
4,jad_occurrence__4,"[34, 47, 47]","[0, 0, 11]","['1 Machabaeorum 0:0', '1 Machabaeorum 0:0', 'Daniel 11:33']","[34, 47]","[1, 11]","['1 Machabaeorum 1:0', 'Daniel 11:33']",False,False,False,True,True,True,True,False,False
5,jad_occurrence__5,"[30, 45]","[1, 1]","['Ieremias 1:10', 'Zacharias 1:18']","[30, 45]","[1, 1]","['Ieremias 1:10', 'Zacharias 1:18']",True,True,True,True,True,True,True,True,True
11,jad_occurrence__11,[51],[19],['Lucas 19:42'],[51],[19],['Lucas 19:41'],True,True,False,True,True,False,True,True,False
12,jad_occurrence__12,"[51, 51]","[21, 21]","['Lucas 21:20', 'Lucas 21:25']","[51, 51]","[21, 21]","['Lucas 21:20', 'Lucas 21:25']",True,True,True,True,True,True,True,True,True
13,jad_occurrence__13,"[45, 45]","[9, 11]","['Zacharias 11:1', 'Zacharias 9:9']","[45, 45]","[9, 11]","['Zacharias 11:1', 'Zacharias 9:9']",True,True,True,True,True,True,True,True,True
14,jad_occurrence__14,"[40, 51]","[3, 19]","['Lucas 19:41', 'Micheas 3:12']","[40, 51]","[6, 19]","['Lucas 19:41', 'Micheas 6:9']",True,False,False,True,True,True,True,False,False
17,jad_occurrence__17,"[23, 29, 57]","[4, 14, 51]","['Galatas 4:26', 'Isaias 14:12', 'Psalmi 51:18']","[9, 23, 23, 29, 29, 34, 37, 59]","[2, 2, 3, 3, 6, 11, 104, 123]","['1 Samuel 2:8', 'Amos 3:7', 'Daniel 2:22', 'Isaias 11:4', 'Isaias 6:1', 'Philippenses 3:21', 'Psalmi 104:30', 'Psalmi 123:2']",False,False,False,True,False,False,False,False,False
18,jad_occurrence__18,"[30, 30, 30, 49, 51, 51, 52]","[18, 18, 18, 19, 23, 23, 27]","['Ieremias 18:19', 'Ieremias 18:20', 'Ieremias 18:21', 'Ioannes 19:15', 'Lucas 23:21', 'Lucas 23:34', 'Matthaeus 27:25']","[30, 30, 30, 49, 51, 51, 52]","[18, 18, 18, 19, 23, 23, 27]","['Ieremias 18:19', 'Ieremias 18:20', 'Ieremias 18:21', 'Ioannes 19:15', 'Lucas 23:21', 'Lucas 23:34', 'Matthaeus 27:25']",True,True,True,True,True,True,True,True,True
19,jad_occurrence__19,"[12, 51, 52]","[2, 7, 23]","['2 Regum 2:23', 'Ioannes 7:16', 'Lucas 23:21']","[12, 51, 52]","[2, 7, 23]","['2 Regum 2:0', 'Ioannes 7:0', 'Lucas 23:0']",True,True,False,True,True,False,True,True,False
20,jad_occurrence__20,[52],[13],['Ioannes 13:2'],[52],[13],['Ioannes 13:2'],True,True,True,True,True,True,True,True,True
22,jad_occurrence__22,"[29, 29]","[50, 50]","['Isaias 50:9', 'Isaias 50:9']","[29, 29]","[50, 50]","['Isaias 50:9', 'Isaias 50:9']",True,True,True,True,True,True,True,True,True
24,jad_occurrence__24,"[51, 51, 56]","[6, 19, 21]","['2 Corinthios 6:2', 'Lucas 19:43', 'Lucas 21:20']","[51, 51, 51, 56]","[4, 6, 19, 21]","['2 Corinthios 6:2', 'Lucas 19:43', 'Lucas 21:20', 'Lucas 4:18']",False,False,False,True,True,True,True,True,True
25,jad_occurrence__25,"[33, 50, 51]","[5, 13, 21]","['Ezechiel 5:1', 'Lucas 21:20', 'Marcus 13:2']","[33, 50, 51]","[5, 13, 21]","['Ezechiel 5:1', 'Lucas 21:20', 'Marcus 13:2']",True,True,True,True,True,True,True,True,True
26,jad_occurrence__26,"[12, 49, 49, 49, 49, 49, 54]","[2, 2, 21, 21, 22, 27, 27]","['2 Regum 2:23', 'Matthaeus 21:12', 'Matthaeus 21:12', 'Matthaeus 22:7', 'Matthaeus 27:29', 'Matthaeus 27:40', 'Romanos 2:5']",[],[],[],False,False,False,False,False,False,False,False,False
27,jad_occurrence__27,"[51, 53, 53]","[1, 12, 19]","['Actus Apostolorum 12:2', 'Actus Apostolorum 1:9', 'Lucas 19:43']",[],[],[],False,False,False,False,False,False,False,False,False
